,,acc,acc,train_time,train_time,test_time,test_time
,,mean,std,mean,std,mean,std
neurons,weight_train,,,,,,
250, False,0.9305199999999999,0.005493996723697578,2.4666755199432373,0.026838378280430668,0.3033065795898437,0.008305740635462333
250, True,0.93507,0.003597545459522815,29.387098336219786,0.36138012255966406,0.30454623699188227,0.029503417338038407
500, False,0.9476699999999999,0.007586838017982953,3.3073623418807983,0.1781866139975352,0.3184870004653931,0.006417533298036041
500, True,0.9548400000000001,0.002709735534451061,29.898759603500366,0.6391926724274637,0.3194204807281494,0.025415209363213592
1000, False,0.96197,0.004362478907940097,6.041967391967773,0.11710683125798294,0.3431443214416504,0.005045734458740835
1000, True,0.96715,0.0020538581580365587,33.10898902416229,0.84625769684552,0.3340064525604248,0.006516471671806503
2000, False,0.97158,0.00290891350469171,13.83996136188507,0.08860528550510237,0.3961420774459839,0.002709714383873366
2000, True,0.9725400000000001,0.003966302504292274,41.038792967796326,0.24884869605637042,0.3895920038223266,0.006063265425665938
4000, False,0.97624,0.0028717783882311063,39.70940113067627,0.41645851903494774,0.4921391487121582,0.011204367636991883
4000, True,0.6308,0.3151317995872697,66.85566308498383,0.8167553368485008,0.4839595317840576,0.009195768093168234
