name,dataset,epochs,seed,acc,train_time,test_time
lenet5,0,1,22,0.9694,32.77528262138367,0
lenet5,0,1,432,0.9719,29.047256231307983,0
lenet5,0,1,63,0.9767,29.06465744972229,0
lenet5,0,1,754,0.9706,29.084522008895874,0
lenet5,0,1,3456,0.9687,28.89495611190796,0
lenet5,0,1,5,0.9531,28.870126247406006,0
lenet5,0,1,6677,0.9688,28.830344438552856,0
lenet5,0,1,876,0.9672,29.153423070907593,0
lenet5,0,1,213,0.9594,28.97309112548828,0
lenet5,0,1,5444,0.9712,29.11036467552185,0
lenet5,0,2,22,0.9784,58.486233949661255,0
lenet5,0,2,432,0.9781,58.632874965667725,0
lenet5,0,2,63,0.975,59.09569549560547,0
lenet5,0,2,754,0.9755,59.42798662185669,0
lenet5,0,2,3456,0.9696,58.32326793670654,0
lenet5,0,2,5,0.9708,58.67763900756836,0
lenet5,0,2,6677,0.9709,58.63589787483215,0
lenet5,0,2,876,0.9725,58.412031412124634,0
lenet5,0,2,213,0.9683,58.872013330459595,0
lenet5,0,2,5444,0.9722,58.76971483230591,0
lenet5,0,3,22,0.9777,88.03903579711914,0
lenet5,0,3,432,0.9741,87.87062883377075,0
lenet5,0,3,63,0.9721,88.41758251190186,0
lenet5,0,3,754,0.9772,86.95424246788025,0
lenet5,0,3,3456,0.9699,87.5292751789093,0
lenet5,0,3,5,0.9435,88.06323885917664,0
lenet5,0,3,6677,0.9754,87.6279706954956,0
lenet5,0,3,876,0.9794,86.98422193527222,0
lenet5,0,3,213,0.9702,87.25218224525452,0
lenet5,0,3,5444,0.9795,87.28722667694092,0
